능력단위코드,자격종목코드,자격종목명,능력단위유형코드,능력단위유형명,최소훈련시간,훈련기준시간합계,필수능력단위기준시간,선택능력단위기준시간,직무기초능력기준시간,시험기관명,능력단위명,기준버전
1601050304_14v1,B022,용접기사,SEL,선택,30,800,615,145,40,한국산업인력공단,가스텅스텐아크용접 장비준비,v1.0
1601050109_14v1,B022,용접기사,SEL,선택,30,800,615,145,40,한국산업인력공단,피복아크용접 작업후 정리정돈,v1.0
1601050104_14v1,B022,용접기사,SEL,선택,30,800,615,145,40,한국산업인력공단,피복아크용접 장비준비,v1.0
1601050103_16v2,B022,용접기사,SEL,선택,30,800,615,145,40,한국산업인력공단,피복아크용접 재료준비,v1.0
1601050108_16v2,B022,용접기사,SEL,선택,30,800,615,145,40,한국산업인력공단,피복아크용접 결함부 보수용접 작업,v1.0
1601050112_16v2,B022,용접기사,SEL,선택,60,800,615,145,40,한국산업인력공단,피복아크용접 필렛용접,v1.0
1601050110_16v2,B022,용접기사,SEL,선택,60,800,615,145,40,한국산업인력공단,피복아크용접 비드쌓기,v1.0
1601050209_16v2,B022,용접기사,SEL,선택,30,800,615,145,40,한국산업인력공단,CO2용접 결함부 보수용접 작업,v1.0
1601050204_13v1,B022,용접기사,SEL,선택,30,800,615,145,40,한국산업인력공단,CO2용접 장비 준비,v1.0
1601050203_13v1,B022,용접기사,SEL,선택,30,800,615,145,40,한국산업인력공단,CO2용접 재료 준비,v1.0
1601050202_16v2,B022,용접기사,SEL,선택,30,800,615,145,40,한국산업인력공단,CO2용접 도면해독,v1.0
1601050303_14v1,B022,용접기사,SEL,선택,30,800,615,145,40,한국산업인력공단,가스텅스텐아크용접 재료준비,v1.0
1601050213_18v3,B022,용접기사,MAND,필수,30,800,675,85,24,한국산업인력공단,솔리드와이어 맞대기 용접,v2.0
1601050212_18v3,B022,용접기사,MAND,필수,30,800,675,85,24,한국산업인력공단,솔리드와이어 필릿 용접,v2.0
1601050215_18v3,B022,용접기사,MAND,필수,30,800,675,85,24,한국산업인력공단,플럭스코드와이어 필릿 용접,v2.0
1601050211_18v3,B022,용접기사,MAND,필수,30,800,675,85,24,한국산업인력공단,솔리드와이어용접 비드 쌓기,v2.0
1601050216_18v3,B022,용접기사,MAND,필수,30,800,675,85,24,한국산업인력공단,플럭스코드와이어 맞대기 용접,v2.0
1601050205_18v3,B022,용접기사,MAND,필수,30,800,675,85,24,한국산업인력공단,CO2용접 가용접작업,v2.0
1601050305_18v3,B022,용접기사,MAND,필수,30,800,675,85,24,한국산업인력공단,가스텅스텐아크용접 가용접 작업,v2.0
1601050311_18v3,B022,용접기사,MAND,필수,60,800,675,85,24,한국산업인력공단,가스텅스텐아크용접 맞대기용접,v2.0
1601050313_18v3,B022,용접기사,MAND,필수,60,800,675,85,24,한국산업인력공단,가스텅스텐아크용접 파이프용접,v2.0
1601050307_18v2,B022,용접기사,MAND,필수,30,800,675,85,24,한국산업인력공단,가스텅스텐아크용접부 검사,v2.0
1601050208_16v2,B022,용접기사,MAND,필수,30,800,675,85,24,한국산업인력공단,CO2용접 용접부 검사,v2.0
1601050107_16v2,B022,용접기사,MAND,필수,30,800,675,85,24,한국산업인력공단,피복아크용접부 검사,v2.0
1601050113_16v2,B022,용접기사,MAND,필수,60,800,675,85,24,한국산업인력공단,피복아크용접 파이프용접,v2.0
1601050111_16v2,B022,용접기사,MAND,필수,60,800,675,85,24,한국산업인력공단,피복아크용접 맞대기용접,v2.0
1601050102_16v2,B022,용접기사,MAND,필수,45,800,675,85,24,한국산업인력공단,피복아크용접 도면해독,v2.0
1601050105_16v2,B022,용접기사,MAND,필수,30,800,675,85,24,한국산업인력공단,피복아크용접 가용접 작업,v2.0
1601050101_16v2,B022,용접기사,MAND,필수,30,800,675,85,24,한국산업인력공단,피복아크용접 작업안전보건관리,v2.0
1601050214_18v3,B022,용접기사,MAND,필수,30,800,675,85,24,한국산업인력공단,플럭스코어드와이어 비드쌓기,v2.0
1601050209_16v2,B022,용접기사,SEL,선택,30,800,675,85,24,한국산업인력공단,CO2용접 결함부 보수용접 작업,v2.0
1601050110_16v2,B022,용접기사,SEL,선택,60,800,675,85,24,한국산업인력공단,피복아크용접 비드쌓기,v2.0
1601050112_16v2,B022,용접기사,SEL,선택,60,800,675,85,24,한국산업인력공단,피복아크용접 필렛용접,v2.0
1601050108_16v2,B022,용접기사,SEL,선택,30,800,675,85,24,한국산업인력공단,피복아크용접 결함부 보수용접 작업,v2.0
1601050103_16v2,B022,용접기사,SEL,선택,15,800,675,85,24,한국산업인력공단,피복아크용접 재료준비,v2.0
1601050104_14v1,B022,용접기사,SEL,선택,15,800,675,85,24,한국산업인력공단,피복아크용접 장비준비,v2.0
1601050109_14v1,B022,용접기사,SEL,선택,15,800,675,85,24,한국산업인력공단,피복아크용접 작업후 정리정돈,v2.0
1601050204_18v2,B022,용접기사,SEL,선택,15,800,675,85,24,한국산업인력공단,CO2용접 장비 준비,v2.0
1601050303_18v2,B022,용접기사,SEL,선택,15,800,675,85,24,한국산업인력공단,가스텅스텐아크용접 재료준비,v2.0
1601050304_18v2,B022,용접기사,SEL,선택,15,800,675,85,24,한국산업인력공단,가스텅스텐아크용접 장비준비,v2.0
1601050310_18v3,B022,용접기사,SEL,선택,45,800,675,85,24,한국산업인력공단,가스텅스텐아크용접 비드쌓기,v2.0
1601050312_18v3,B022,용접기사,SEL,선택,60,800,675,85,24,한국산업인력공단,가스텅스텐아크용접 필릿용접,v2.0
1601050202_18v3,B022,용접기사,SEL,선택,30,800,675,85,24,한국산업인력공단,CO2용접 도면해독,v2.0
1601050203_13v1,B022,용접기사,SEL,선택,30,800,675,85,24,한국산업인력공단,CO2용접 재료 준비,v2.0
1601050113_21v3,B022,용접기사,MAND,필수,75,800,540,0,24,한국산업인력공단,피복아크용접 파이프용접,v3.0
1601050111_21v3,B022,용접기사,MAND,필수,30,800,540,0,24,한국산업인력공단,피복아크용접 맞대기용접,v3.0
1601050208_21v3,B022,용접기사,MAND,필수,15,800,540,0,24,한국산업인력공단,CO₂용접 용접부 검사,v3.0
1601050209_21v3,B022,용접기사,MAND,필수,15,800,540,0,24,한국산업인력공단,CO₂용접 결함부 보수용접 작업,v3.0
1601050213_21v4,B022,용접기사,MAND,필수,45,800,540,0,24,한국산업인력공단,솔리드와이어 맞대기용접,v3.0
1601050216_21v4,B022,용접기사,MAND,필수,45,800,540,0,24,한국산업인력공단,플럭스코어드와이어 맞대기용접,v3.0
1601050302_21v4,B022,용접기사,MAND,필수,15,800,540,0,24,한국산업인력공단,가스텅스텐아크용접 도면해독,v3.0
1601050305_21v4,B022,용접기사,MAND,필수,15,800,540,0,24,한국산업인력공단,가스텅스텐아크용접 가용접 작업,v3.0
1601050307_21v3,B022,용접기사,MAND,필수,15,800,540,0,24,한국산업인력공단,가스텅스텐아크용접부 검사,v3.0
1601050308_21v4,B022,용접기사,MAND,필수,15,800,540,0,24,한국산업인력공단,가스텅스텐아크용접 결함부 보수용접 작업,v3.0
1601050311_21v4,B022,용접기사,MAND,필수,45,800,540,0,24,한국산업인력공단,가스텅스텐아크용접 맞대기용접,v3.0
1601050313_21v4,B022,용접기사,MAND,필수,75,800,540,0,24,한국산업인력공단,가스텅스텐아크용접 파이프용접,v3.0
1601050407_21v2,B022,용접기사,MAND,필수,15,800,540,0,24,한국산업인력공단,가스메탈아크용접부 검사,v3.0
1601050413_21v3,B022,용접기사,MAND,필수,45,800,540,0,24,한국산업인력공단,가스메탈아크용접 파이프용접,v3.0
1601050102_21v3,B022,용접기사,MAND,필수,15,800,540,0,24,한국산업인력공단,피복아크용접 도면해독,v3.0
1601050105_21v3,B022,용접기사,MAND,필수,15,800,540,0,24,한국산업인력공단,피복아크용접 가용접 작업,v3.0
1601050107_21v3,B022,용접기사,MAND,필수,15,800,540,0,24,한국산업인력공단,피복아크용접부 검사,v3.0
1601050108_21v3,B022,용접기사,MAND,필수,15,800,540,0,24,한국산업인력공단,피복아크용접 결함부 보수용접 작업,v3.0
1601050205_21v4,B022,용접기사,MAND,필수,15,800,540,0,24,한국산업인력공단,CO₂용접 가용접 작업,v3.0
1510020109_22v6,B025,프레스금형기사,MAND,필수,45,800,420,0,24,한국산업인력공단,프레스금형 설계보완,v1.0
1510020116_22v5,B025,프레스금형기사,MAND,필수,45,800,420,0,24,한국산업인력공단,프레스금형 응용 제품도 분석,v1.0
1510020117_22v3,B025,프레스금형기사,MAND,필수,60,800,420,0,24,한국산업인력공단,프레스금형 3D 어셈블리모델링,v1.0
1510020126_22v4,B025,프레스금형기사,MAND,필수,60,800,420,0,24,한국산업인력공단,프레스금형 응용 성형해석,v1.0
1510020121_22v5,B025,프레스금형기사,MAND,필수,60,800,420,0,24,한국산업인력공단,프레스금형 응용 성형가공설계,v1.0
1510020123_22v5,B025,프레스금형기사,MAND,필수,60,800,420,0,24,한국산업인력공단,프레스금형 응용 프로그레시브설계,v1.0
1510020125_22v4,B025,프레스금형기사,MAND,필수,45,800,420,0,24,한국산업인력공단,프레스금형 기초 성형해석,v1.0
1510020119_22v6,B025,프레스금형기사,MAND,필수,45,800,420,0,24,한국산업인력공단,프레스금형 응용 전단가공설계,v1.0
1901120102_16v1,B027,그린전동자동차기사,MAND,필수,30,700,450,226,24,한국산업인력공단,전지·모듈 설계,v1.0
1503010204_14v3,B027,그린전동자동차기사,MAND,필수,45,700,450,226,24,한국산업인력공단,센서 활용 기술,v1.0
1506010102_16v2,B027,그린전동자동차기사,MAND,필수,60,700,450,226,24,한국산업인력공단,자동차 차체 설계,v1.0
1506010107_14v1,B027,그린전동자동차기사,MAND,필수,60,700,450,226,24,한국산업인력공단,자동차 동력전달장치 설계,v1.0
1506010115_16v1,B027,그린전동자동차기사,MAND,필수,60,700,450,226,24,한국산업인력공단,그린전동자동차 동력설계,v1.0
1506010210_20v2,B027,그린전동자동차기사,MAND,필수,90,700,450,226,24,한국산업인력공단,자동차 전기전자장치 시험평가,v1.0
1506010213_20v2,B027,그린전동자동차기사,MAND,필수,45,700,450,226,24,한국산업인력공단,자동차 실차동력성능 시험평가,v1.0
1506010214_20v1,B027,그린전동자동차기사,MAND,필수,60,700,450,226,24,한국산업인력공단,친환경차 시험평가,v1.0
1503010204_14v3,B027,그린전동자동차기사,MAND,필수,45,700,510,0,24,한국산업인력공단,센서 활용 기술,v2.0
1506010102_16v2,B027,그린전동자동차기사,MAND,필수,60,700,510,0,24,한국산업인력공단,자동차 차체 설계,v2.0
1506010107_14v1,B027,그린전동자동차기사,MAND,필수,60,700,510,0,24,한국산업인력공단,자동차 동력전달장치 설계,v2.0
1506010115_16v1,B027,그린전동자동차기사,MAND,필수,60,700,510,0,24,한국산업인력공단,그린전동자동차 동력설계,v2.0
1901120120_22v2,B027,그린전동자동차기사,MAND,필수,30,700,510,0,24,한국산업인력공단,배터리 관리장치(BMS) 하드웨어 개발,v2.0
1506010213_20v2,B027,그린전동자동차기사,MAND,필수,45,700,510,0,24,한국산업인력공단,자동차 실차동력성능 시험평가,v2.0
1506010214_20v1,B027,그린전동자동차기사,MAND,필수,60,700,510,0,24,한국산업인력공단,친환경차 시험평가,v2.0
1901120116_22v2,B027,그린전동자동차기사,MAND,필수,30,700,510,0,24,한국산업인력공단,배터리 시스템 설계,v2.0
1901120119_22v2,B027,그린전동자동차기사,MAND,필수,30,700,510,0,24,한국산업인력공단,배터리 관리장치(BMS) 펌웨어 개발,v2.0
1506010210_20v2,B027,그린전동자동차기사,MAND,필수,90,700,510,0,24,한국산업인력공단,자동차 전기전자장치 시험평가,v2.0
1901080308_16v3,B060,메카트로닉스기사,MAND,필수,60,810,525,245,24,한국산업인력공단,자동제어시스템 고장진단,v1.0
1901080108_14v2,B060,메카트로닉스기사,MAND,필수,60,810,525,245,24,한국산업인력공단,제어기기 선정,v1.0
1901080303_14v2,B060,메카트로닉스기사,MAND,필수,60,810,525,245,24,한국산업인력공단,자동제어도면 분석,v1.0
1901080301_16v3,B060,메카트로닉스기사,MAND,필수,60,810,525,245,24,한국산업인력공단,자동제어시스템 분석,v1.0
1901080115_16v3,B060,메카트로닉스기사,MAND,필수,60,810,525,245,24,한국산업인력공단,공정배관계장도 작성,v1.0
1901080113_16v3,B060,메카트로닉스기사,MAND,필수,60,810,525,245,24,한국산업인력공단,제어설계 기준서 작성,v1.0
1901080103_16v3,B060,메카트로닉스기사,MAND,필수,60,810,525,245,24,한국산업인력공단,자동화 기본계획서 작성,v1.0
1901080102_16v3,B060,메카트로닉스기사,MAND,필수,45,810,525,245,24,한국산업인력공단,제어시스템 프로젝트 관리,v1.0
1901080114_16v3,B060,메카트로닉스기사,MAND,필수,60,810,525,245,24,한국산업인력공단,공정제어 설계,v1.0
1901080410_14v2,B060,메카트로닉스기사,SEL,선택,60,810,525,245,24,한국산업인력공단,제어시스템 안전관리,v1.0
1901080208_16v2,B060,메카트로닉스기사,SEL,선택,60,810,525,245,24,한국산업인력공단,생산계획,v1.0
1901080409_14v2,B060,메카트로닉스기사,SEL,선택,60,810,525,245,24,한국산업인력공단,제어시스템 운영관리,v1.0
1901080407_14v2,B060,메카트로닉스기사,SEL,선택,45,810,525,245,24,한국산업인력공단,제어시스템 이상원인 분석,v1.0
1901080101_14v2,B060,메카트로닉스기사,SEL,선택,30,810,525,245,24,한국산업인력공단,제어설계 타당성 조사,v1.0
1901080408_14v2,B060,메카트로닉스기사,SEL,선택,45,810,525,245,24,한국산업인력공단,제어시스템 품질관리,v1.0
1901080105_14v2,B060,메카트로닉스기사,SEL,선택,30,810,525,245,24,한국산업인력공단,제어반 설계,v1.0
1901080112_16v3,B060,메카트로닉스기사,SEL,선택,60,810,525,245,24,한국산업인력공단,제어설계 규정 검토,v1.0
1901080111_16v3,B060,메카트로닉스기사,SEL,선택,60,810,525,245,24,한국산업인력공단,제어설비 운전조작서 작성,v1.0
1901080207_16v2,B060,메카트로닉스기사,SEL,선택,60,810,525,245,24,한국산업인력공단,제작공정계획,v1.0
1901080107_14v2,B060,메카트로닉스기사,SEL,선택,30,810,525,245,24,한국산업인력공단,구동장치 선정,v1.0
1506030201_18v4,B070,자동차정비기사,MAND,필수,45,750,645,81,24,한국산업인력공단,엔진본체 정비,v1.0
1506030208_17v3,B070,자동차정비기사,MAND,필수,45,750,645,81,24,한국산업인력공단,가솔린 전자제어장치 정비,v1.0
1506030117_20v3,B070,자동차정비기사,MAND,필수,45,750,645,81,24,한국산업인력공단,전기자동차 특화시스템 정비,v1.0
1506030109_20v4,B070,자동차정비기사,MAND,필수,45,750,645,81,24,한국산업인력공단,하이브리드자동차 특화시스템 정비,v1.0
1506030108_20v4,B070,자동차정비기사,MAND,필수,45,750,645,81,24,한국산업인력공단,자동차 네트워크통신장치 정비,v1.0
1506030107_20v4,B070,자동차정비기사,MAND,필수,45,750,645,81,24,한국산업인력공단,자동차 주행안전장치 정비,v1.0
1506030105_20v4,B070,자동차정비기사,MAND,필수,45,750,645,81,24,한국산업인력공단,자동차 편의장치 정비,v1.0
1506020206_20v2,B070,자동차정비기사,MAND,필수,45,750,645,81,24,한국산업인력공단,자동차 배출가스성능검사,v1.0
1506040203_20v3,B070,자동차정비기사,MAND,필수,45,750,645,81,24,한국산업인력공단,장비관리,v1.0
1506030603_17v3,B070,자동차정비기사,MAND,필수,45,750,645,81,24,한국산업인력공단,기기검사,v1.0
1506030602_17v3,B070,자동차정비기사,MAND,필수,30,750,645,81,24,한국산업인력공단,관능검사,v1.0
1506030324_17v3,B070,자동차정비기사,MAND,필수,45,750,645,81,24,한국산업인력공단,휠·타이어·얼라인먼트 정비,v1.0
1506030311_17v3,B070,자동차정비기사,MAND,필수,30,750,645,81,24,한국산업인력공단,전자제어 조향장치 정비,v1.0
1506030210_18v4,B070,자동차정비기사,MAND,필수,45,750,645,81,24,한국산업인력공단,디젤 전자제어장치정비,v1.0
1506030118_20v1,B070,자동차정비기사,MAND,필수,45,750,645,81,24,한국산업인력공단,자동차 고전압전기장치 정비,v1.0
1506030205_17v3,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,엔진점화장치 정비,v2.0
1506030206_17v3,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,흡·배기장치 정비,v2.0
1506030207_17v3,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,과급장치 정비,v2.0
1506030208_17v3,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,가솔린 전자제어장치 정비,v2.0
1506030209_17v3,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,LPG/LPI 전자제어장치 정비,v2.0
1506030210_18v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,디젤 전자제어장치정비,v2.0
1506030211_17v3,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,CNG 전자제어장치정비,v2.0
1506030212_17v3,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,배출가스장치 정비,v2.0
1506030303_23v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,자동변속기 정비,v2.0
1506030308_23v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,유압식 현가장치 정비,v2.0
1506030309_23v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,전자제어 현가장치 정비,v2.0
1506030322_23v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,클러치·수동변속기 정비,v2.0
1506030323_23v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,드라이브라인 정비,v2.0
1506030324_23v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,휠·타이어·얼라인먼트 정비,v2.0
1506030326_23v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,조향장치 정비,v2.0
1506030327_23v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,제동장치 정비,v2.0
1506030603_23v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,기기검사,v2.0
1506030606_23v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,배출가스 검사,v2.0
1506030608_23v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,튜닝업무,v2.0
1506030611_23v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,동력발생·전달장치 관능검사,v2.0
1506030612_23v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,섀시관련장치 관능검사,v2.0
1506030613_23v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,전기전자관련장치 관능검사,v2.0
1506030614_23v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,안전관련장치 관능검사,v2.0
1506030204_17v3,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,연료장치 정비,v2.0
1506030203_18v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,윤활장치 정비,v2.0
1506030202_17v3,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,냉각장치 정비,v2.0
1506030601_23v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,동일성확인,v2.0
1506030118_20v1,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,자동차 고전압전기장치 정비,v2.0
1506030117_20v3,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,전기자동차 특화시스템 정비,v2.0
1506030109_20v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,하이브리드자동차 특화시스템 정비,v2.0
1506030108_20v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,자동차 네트워크통신장치 정비,v2.0
1506030107_20v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,자동차 주행안전장치 정비,v2.0
1506030106_20v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,자동차 등화장치 정비,v2.0
1506030105_20v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,자동차 편의장치 정비,v2.0
1506030104_20v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,자동차 전기·전자회로 분석,v2.0
1506030103_20v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,자동차 냉·난방장치 정비,v2.0
1506030102_20v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,자동차 시동장치 정비,v2.0
1506030101_20v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,자동차 충전장치 정비,v2.0
1506030201_18v4,B070,자동차정비기사,MAND,필수,15,800,615,0,24,한국산업인력공단,엔진본체 정비,v2.0
1501010205_14v2,B080,기계설계기사,MAND,필수,60,825,480,300,45,한국산업인력공단,규정검토,v1.0
1501020104_14v2,B080,기계설계기사,MAND,필수,60,825,480,300,45,한국산업인력공단,요소공차검토,v1.0
1501020105_14v2,B080,기계설계기사,MAND,필수,45,825,480,300,45,한국산업인력공단,요소부품재질선정,v1.0
1501020205_16v3,B080,기계설계기사,MAND,필수,30,825,480,300,45,한국산업인력공단,요소부품설계검토,v1.0
1501020305_14v2,B080,기계설계기사,MAND,필수,60,825,480,300,45,한국산업인력공단,동적구조해석,v1.0
1501020302_14v2,B080,기계설계기사,MAND,필수,60,825,480,300,45,한국산업인력공단,정적구조해석,v1.0
1501020303_14v2,B080,기계설계기사,MAND,필수,60,825,480,300,45,한국산업인력공단,열응력해석,v1.0
1501020304_14v2,B080,기계설계기사,MAND,필수,45,825,480,300,45,한국산업인력공단,유동해석,v1.0
1501020301_14v2,B080,기계설계기사,MAND,필수,60,825,480,300,45,한국산업인력공단,해석용모델링,v1.0
1501020211_14v2,B080,기계설계기사,SEL,선택,30,825,480,300,45,한국산업인력공단,설계품질관리,v1.0
1501020210_14v2,B080,기계설계기사,SEL,선택,60,825,480,300,45,한국산업인력공단,치공구설계,v1.0
1501020207_14v2,B080,기계설계기사,SEL,선택,30,825,480,300,45,한국산업인력공단,요소부품제작성검토,v1.0
1501020206_14v2,B080,기계설계기사,SEL,선택,30,825,480,300,45,한국산업인력공단,요소부품재질검토,v1.0
1501020116_16v3,B080,기계설계기사,SEL,선택,45,825,480,300,45,한국산업인력공단,도면검토,v1.0
1501020115_16v3,B080,기계설계기사,SEL,선택,45,825,480,300,45,한국산업인력공단,도면분석,v1.0
1501020114_16v3,B080,기계설계기사,SEL,선택,60,825,480,300,45,한국산업인력공단,3D형상모델링검토,v1.0
1501020107_16v3,B080,기계설계기사,SEL,선택,60,825,480,300,45,한국산업인력공단,동력전달요소설계,v1.0
1501020108_16v3,B080,기계설계기사,SEL,선택,30,825,480,300,45,한국산업인력공단,치공구요소설계,v1.0
1501020113_16v3,B080,기계설계기사,SEL,선택,60,825,480,300,45,한국산업인력공단,3D형상모델링작업,v1.0
1501020106_16v3,B080,기계설계기사,SEL,선택,60,825,480,300,45,한국산업인력공단,체결요소설계,v1.0
1501010207_14v2,B080,기계설계기사,SEL,선택,30,825,480,300,45,한국산업인력공단,개발일정수립,v1.0
1501010110_14v2,B080,기계설계기사,SEL,선택,30,825,480,300,45,한국산업인력공단,기계형식인증검토,v1.0
1501010104_14v2,B080,기계설계기사,SEL,선택,30,825,480,300,45,한국산업인력공단,기술지원계획수립,v1.0
1501010102_14v2,B080,기계설계기사,SEL,선택,30,825,480,300,45,한국산업인력공단,설계기술자료수집,v1.0
1501020105_14v2,B080,기계설계기사,MAND,필수,45,825,480,305,40,한국산업인력공단,요소부품재질선정,v2.0
1501020104_14v2,B080,기계설계기사,MAND,필수,60,825,480,305,40,한국산업인력공단,요소공차검토,v2.0
1501010205_14v2,B080,기계설계기사,MAND,필수,60,825,480,305,40,한국산업인력공단,규정검토,v2.0
1501020205_16v3,B080,기계설계기사,MAND,필수,30,825,480,305,40,한국산업인력공단,요소부품설계검토,v2.0
1501020305_14v2,B080,기계설계기사,MAND,필수,60,825,480,305,40,한국산업인력공단,동적구조해석,v2.0
