학교명,학과명,시도,고교유형,졸업자수,취업률,진학률,조사연도
"단국대학교부속소프트웨어고등학교","사물인터넷소프트웨어과","서울","특성화고(직업)",31,6.5,71,2025
"대진디자인고등학교","소프트웨어콘텐츠과","서울","특성화고(직업)",40,2.5,75,2025
"대진디자인고등학교","시각디자인과","서울","특성화고(직업)",62,9.7,67.7,2025
"대진디자인고등학교","실내건축디자인과","서울","특성화고(직업)",54,7.4,72.2,2025
"서울디자인고등학교","푸드스타일디자인과","서울","특성화고(직업)",66,21.2,59.1,2025
"서울디자인고등학교","시각디자인과","서울","특성화고(직업)",41,19.5,48.8,2025
"서울디자인고등학교","영상디자인과","서울","특성화고(직업)",22,9.1,81.8,2025
"서울디자인고등학교","패션디자인과","서울","특성화고(직업)",38,13.2,52.6,2025
"서울디자인고등학교","패션액세서리디자인과","서울","특성화고(직업)",17,5.9,76.5,2025
"서울디자인고등학교","사운드뮤직디자인과","서울","특성화고(직업)",37,5.4,51.4,2025
"서울디자인고등학교","3D건축인테리어과","서울","특성화고(직업)",55,10.9,49.1,2025
"덕일전자공업고등학교","로봇드론과","서울","특성화고(직업)",20,5,60,2025
"덕일전자공업고등학교","전자과","서울","특성화고(직업)",19,21.1,31.6,2025
"리라아트고등학교","영상음악콘텐츠과","서울","특성화고(직업)",85,20,50.6,2025
"리라아트고등학교","건강과학과","서울","특성화고(직업)",43,34.9,46.5,2025
"상일미디어고등학교","디지털미디어디자인과","서울","특성화고(직업)",39,17.9,51.3,2025
"상일미디어고등학교","스마트소프트웨어과","서울","특성화고(직업)",36,16.7,55.6,2025
"상일미디어고등학교","스마트정보통신과","서울","특성화고(직업)",19,10.5,78.9,2025
"상일미디어고등학교","디지털만화영상과","서울","특성화고(직업)",43,2.3,90.7,2025
"상일미디어고등학교","바이오푸드과","서울","특성화고(직업)",41,22,61,2025
"미래산업과학고등학교","인공지능콘텐츠과","서울","특성화고(직업)",44,4.5,81.8,2025
"미래산업과학고등학교","컴퓨터특허과","서울","특성화고(직업)",40,25,62.5,2025
"미래산업과학고등학교","메이커창작과","서울","특성화고(직업)",44,4.5,81.8,2025
"미래산업과학고등학교","시각디자인과","서울","특성화고(직업)",42,7.1,73.8,2025
"세명컴퓨터고등학교","스마트보안솔루션과","서울","특성화고(직업)",51,27.5,51,2025
"세명컴퓨터고등학교","게임소프트웨어과","서울","특성화고(직업)",43,14,51.2,2025
"세명컴퓨터고등학교","인공지능소프트웨어과","서울","특성화고(직업)",39,15.4,71.8,2025
"세명컴퓨터고등학교","디바이스소프트웨어과","서울","특성화고(직업)",20,25,60,2025
"신진과학기술고등학교","인공지능자동화과","서울","특성화고(직업)",20,30,55,2025
"신진과학기술고등학교","자동차과","서울","특성화고(직업)",30,53.3,26.7,2025
"신진과학기술고등학교","건설정보과","서울","특성화고(직업)",29,37.9,24.1,2025
"신진과학기술고등학교","호텔조리과","서울","특성화고(직업)",36,30.6,50,2025
"염광메디텍고등학교","보건간호과","서울","특성화고(직업)",53,11.3,79.2,2025
"염광메디텍고등학교","보건행정과","서울","특성화고(직업)",17,5.9,76.5,2025
"염광메디텍고등학교","메디컬스킨케어과","서울","특성화고(직업)",20,40,50,2025
"영등포공업고등학교","공간디자인과","서울","특성화고(직업)",18,5.6,61.1,2025
"영등포공업고등학교","스마트기계과","서울","특성화고(직업)",9,22.2,44.4,2025
"영등포공업고등학교","스마트전기과","서울","특성화고(직업)",27,55.6,29.6,2025
"영등포공업고등학교","스포츠과학시설과","서울","특성화고(직업)",19,10.5,73.7,2025
"유한공업고등학교","로봇전기과","서울","특성화고(직업)",44,43.2,34.1,2025
"유한공업고등학교","자동화시스템과","서울","특성화고(직업)",40,35,25,2025
"유한공업고등학교","스마트제어과","서울","특성화고(직업)",38,13.2,73.7,2025
"유한공업고등학교","건축디자인과","서울","특성화고(직업)",42,19,57.1,2025
"서울아이티고등학교","폴리메카닉스과","서울","특성화고(직업)",5,100,0,2025
"서울아이티고등학교","컴퓨터전기전자과","서울","특성화고(직업)",32,31.3,40.6,2025
"서울아이티고등학교","네트워크보안솔루션과","서울","특성화고(직업)",38,18.4,55.3,2025
"서울아이티고등학교","스마트웹콘텐츠과","서울","특성화고(직업)",56,7.1,53.6,2025
"은평메디텍고등학교","SMT코딩과","서울","특성화고(직업)",11,54.5,27.3,2025
"은평메디텍고등학교","건강조리과","서울","특성화고(직업)",41,26.8,56.1,2025
"은평메디텍고등학교","보건간호과","서울","특성화고(직업)",31,3.2,87.1,2025
"은평메디텍고등학교","e스포츠과","서울","특성화고(직업)",30,6.7,43.3,2025
"인덕과학기술고등학교","실내건축과","서울","특성화고(직업)",39,10.3,53.8,2025
"인덕과학기술고등학교","도시공간건설과","서울","특성화고(직업)",32,9.4,31.3,2025
"인덕과학기술고등학교","자동차과","서울","특성화고(직업)",33,18.2,24.2,2025
"인덕과학기술고등학교","자동화기계과","서울","특성화고(직업)",36,33.3,13.9,2025
"인덕과학기술고등학교","캐릭터디자인과","서울","특성화고(직업)",42,11.9,61.9,2025
"서울디지텍고등학교","빅데이터과","서울","특성화고(직업)",16,81.3,12.5,2025
"서울디지텍고등학교","게임콘텐츠과","서울","특성화고(직업)",23,13,56.5,2025
"서울디지텍고등학교","인공지능소프트웨어과","서울","특성화고(직업)",25,44,24,2025
"서울디지텍고등학교","VR콘텐츠과","서울","특성화고(직업)",24,20.8,45.8,2025
"한세사이버보안고등학교","네트워크보안과","서울","특성화고(직업)",16,37.5,43.8,2025
"한세사이버보안고등학교","게임과","서울","특성화고(직업)",21,9.5,57.1,2024
"한세사이버보안고등학교","해킹보안과","서울","특성화고(직업)",38,34.2,36.8,2024
"한양공업고등학교","건축과","서울","특성화고(직업)",39,38.5,28.2,2024
"한양공업고등학교","자동차과","서울","특성화고(직업)",38,18.4,28.9,2025
"한양공업고등학교","디지털전자과","서울","특성화고(직업)",35,42.9,37.1,2025
"한양공업고등학교","컴퓨터네트워크과","서울","특성화고(직업)",38,13.2,52.6,2025
"한양공업고등학교","건설정보과","서울","특성화고(직업)",36,27.8,30.6,2024
"한양공업고등학교","자동화기계과","서울","특성화고(직업)",32,18.8,53.1,2024
"예일디자인고등학교","시각디자인과","서울","특성화고(직업)",46,15.2,52.2,2025
"예일디자인고등학교","웹콘텐츠디자인과","서울","특성화고(직업)",48,14.6,62.5,2025
"예일디자인고등학교","3D공간제품디자인과","서울","특성화고(직업)",34,0,94.1,2025
"예일디자인고등학교","패션·스타일과","서울","특성화고(직업)",35,14.3,65.7,2025
"경기상업고등학교","공공행정과","서울","특성화고(직업)",24,8.3,62.5,2025
"경기상업고등학교","세무회계과","서울","특성화고(직업)",5,20,80,2024
"경기상업고등학교","금융사무과","서울","특성화고(직업)",13,7.7,46.2,2024
"경기상업고등학교","크리에이터과","서울","특성화고(직업)",13,0,76.9,2025
"경기상업고등학교","스마트소프트웨어과","서울","특성화고(직업)",4,25,25,2025
"경기상업고등학교","뷰티디자인과","서울","특성화고(직업)",32,56.3,21.9,2025
"서울문화고등학교","광고마케팅과","서울","특성화고(직업)",13,23.1,69.2,2025
"서울문화고등학교","세무행정과","서울","특성화고(직업)",12,8.3,66.7,2025
"서울문화고등학교","IOT(사물인터넷)과","서울","특성화고(직업)",22,9.1,40.9,2025
"서울문화고등학교","콘텐츠디자인과","서울","특성화고(직업)",39,5.1,74.4,2025
"서울문화고등학교","엔터테인먼트과","서울","특성화고(직업)",37,5.4,54.1,2025
"서울금융고등학교","행정서비스과","서울","특성화고(직업)",13,30.8,38.5,2024
"서울금융고등학교","세무회계과","서울","특성화고(직업)",11,0,63.6,2025
"서울금융고등학교","금융과","서울","특성화고(직업)",10,10,70,2025
"서울금융고등학교","소프트웨어과","서울","특성화고(직업)",11,18.2,63.6,2025
"서울금융고등학교","3D프린팅과","서울","특성화고(직업)",16,0,56.3,2024
"선린인터넷고등학교","IT경영과","서울","특성화고(직업)",52,9.6,67.3,2025
"선린인터넷고등학교","소프트웨어과","서울","특성화고(직업)",64,14.1,70.3,2025
"선린인터넷고등학교","정보보호과","서울","특성화고(직업)",63,9.5,68.3,2025
"선린인터넷고등학교","콘텐츠디자인과","서울","특성화고(직업)",63,3.2,66.7,2025
"성동글로벌경영고등학교","글로벌경영과","서울","특성화고(직업)",8,62.5,25,2024
"성동글로벌경영고등학교","금융정보과","서울","특성화고(직업)",7,42.9,0,2024
"성동글로벌경영고등학교","세무행정과","서울","특성화고(직업)",12,50,41.7,2025
"성동글로벌경영고등학교","패션디자인과","서울","특성화고(직업)",21,9.5,57.1,2025
"성동글로벌경영고등학교","문화콘텐츠디자인과","서울","특성화고(직업)",30,20,56.7,2025
"영신간호비즈니스고등학교","웰빙베이커리과","서울","특성화고(직업)",16,37.5,37.5,2025
"영신간호비즈니스고등학교","보건간호과","서울","특성화고(직업)",44,22.7,65.9,2025
"영신간호비즈니스고등학교","보건비즈니스과","서울","특성화고(직업)",12,41.7,25,2024
"영신간호비즈니스고등학교","영상그래픽디자인과","서울","특성화고(직업)",19,31.6,47.4,2025
"영신간호비즈니스고등학교","보건뷰티과","서울","특성화고(직업)",34,38.2,11.8,2025
"서울의료보건고등학교","보건간호과","서울","특성화고(직업)",76,10.5,82.9,2025
"서울의료보건고등학교","보건경영과","서울","특성화고(직업)",32,18.8,68.8,2024
"서울의료보건고등학교","치의보건간호과","서울","특성화고(직업)",22,13.6,81.8,2024
"서울동구고등학교","국제비즈니스과","서울","특성화고(직업)",11,45.5,27.3,2025
"서울동구고등학교","스마트금융경영과","서울","특성화고(직업)",31,64.5,25.8,2025
"서울동구고등학교","콘텐츠크리에이터과","서울","특성화고(직업)",28,35.7,28.6,2025
"서울컨벤션고등학교","컨벤션경영과","서울","특성화고(직업)",19,21.1,63.2,2025
"서울컨벤션고등학교","컨벤션비즈니스과","서울","특성화고(직업)",61,31.1,50.8,2025
"서울컨벤션고등학교","컨벤션이벤트과","서울","특성화고(직업)",41,19.5,51.2,2025
"서울컨벤션고등학교","컨벤션외식조리과","서울","특성화고(직업)",39,41,38.5,2025
"서일문화예술고등학교","도제과","서울","특성화고(직업)",18,44.4,22.2,2024
"서일문화예술고등학교","외식베이커리과","서울","특성화고(직업)",18,5.6,38.9,2025
"서일문화예술고등학교","뮤지컬연기과","서울","특성화고(직업)",33,9.1,72.7,2025
"서울동산고등학교","음악영상콘텐츠과","서울","특성화고(직업)",24,8.3,66.7,2025
"서울동산고등학교","영유아보육과","서울","특성화고(직업)",28,0,92.9,2025
"서울동산고등학교","외식조리과","서울","특성화고(직업)",55,20,43.6,2025
"서울동산고등학교","보건간호과","서울","특성화고(직업)",27,3.7,55.6,2025
"서울동산고등학교","뷰티아트과","서울","특성화고(직업)",66,16.7,57.6,2025
"서울동산고등학교","스포츠경영과","서울","특성화고(직업)",38,0,81.6,2025
"서울여자상업고등학교","재무경영과","서울","특성화고(직업)",51,88.2,2,2025
"서울여자상업고등학교","금융경제과","서울","특성화고(직업)",51,80.4,3.9,2025
"서울여자상업고등학교","국제통상과","서울","특성화고(직업)",41,70.7,4.9,2025
"선일빅데이터고등학교","빅데이터소셜마케팅과","서울","특성화고(직업)",49,53.1,22.4,2025
"선일빅데이터고등학교","빅데이터소셜미디어과","서울","특성화고(직업)",37,45.9,43.2,2025
"서울신정고등학교","관광서비스과","서울","특성화고(직업)",6,33.3,66.7,2025
"서울신정고등학교","베이커리과","서울","특성화고(직업)",29,44.8,37.9,2025
"서울신정고등학교","외식조리과","서울","특성화고(직업)",24,25,45.8,2025
"서울신정고등학교","웹크리에이터과","서울","특성화고(직업)",14,28.6,50,2025
"서울신정고등학교","생활체육과","서울","특성화고(직업)",24,16.7,58.3,2025
"서울영상고등학교","영상경영과","서울","특성화고(직업)",37,13.5,73,2025
"서울영상고등학교","영상콘텐츠과","서울","특성화고(직업)",44,2.3,88.6,2025
"서울영상고등학교","영상미디어과","서울","특성화고(직업)",43,4.7,79.1,2025
"영락의료과학고등학교","의료비즈니스과","서울","특성화고(직업)",21,61.9,28.6,2025
"영락의료과학고등학교","보건간호과","서울","특성화고(직업)",40,7.5,75,2025
"영락의료과학고등학교","의료IT과","서울","특성화고(직업)",13,76.9,15.4,2025
"영락의료과학고등학교","3D콘텐츠디자인과","서울","특성화고(직업)",6,0,83.3,2025
"일신여자상업고등학교","금융정보과","서울","특성화고(직업)",35,57.1,8.6,2025
"일신여자상업고등학교","회계정보과","서울","특성화고(직업)",34,44.1,44.1,2025
"일신여자상업고등학교","국제통상과","서울","특성화고(직업)",15,53.3,46.7,2024
"일신여자상업고등학교","디자인콘텐츠과","서울","특성화고(직업)",32,12.5,50,2025
"서울정화고등학교","부사관과","서울","특성화고(직업)",23,30.4,30.4,2025
"서울정화고등학교","사회복지사무관리과","서울","특성화고(직업)",12,25,58.3,2025
"서울정화고등학교","콘텐츠 크리에이터과","서울","특성화고(직업)",21,9.5,71.4,2024
"서울정화고등학교","뷰티디자인과","서울","특성화고(직업)",18,22.2,55.6,2025
"경복비즈니스고등학교","국제통상과","서울","특성화고(직업)",28,32.1,39.3,2025
"경복비즈니스고등학교","국제관광비즈니스과","서울","특성화고(직업)",30,13.3,70,2025
"경복비즈니스고등학교","IT 비즈니스과","서울","특성화고(직업)",35,17.1,60,2025
"고명외식고등학교","외식경영과","서울","특성화고(직업)",41,34.1,51.2,2025
"고명외식고등학교","국제관광과","서울","특성화고(직업)",39,20.5,59,2025
"고명외식고등학교","디저트제과경영과","서울","특성화고(직업)",41,19.5,63.4,2025
"고명외식고등학교","카페경영과","서울","특성화고(직업)",42,28.6,61.9,2025
"서울관광고등학교","관광경영과","서울","특성화고(직업)",33,15.2,42.4,2025
"서울관광고등학교","관광서비스과","서울","특성화고(직업)",45,26.7,51.1,2025
"서울관광고등학교","외식조리과","서울","특성화고(직업)",79,21.5,54.4,2025
"광신방송예술고등학교","방송영상과","서울","특성화고(직업)",41,9.8,68.3,2025
"광신방송예술고등학교","만화영상과","서울","특성화고(직업)",39,10.3,48.7,2025
"광신방송예술고등학교","연예엔터테인먼트과","서울","특성화고(직업)",19,10.5,42.1,2025
"광신방송예술고등학교","미디어메이크업아티스트과","서울","특성화고(직업)",17,5.9,70.6,2025
"예림디자인고등학교","패션스타일리스트과","서울","특성화고(직업)",20,10,60,2025
"예림디자인고등학교","시각디자인과","서울","특성화고(직업)",43,11.6,55.8,2025
"예림디자인고등학교","콘텐츠디자인과","서울","특성화고(직업)",37,8.1,70.3,2025
"예림디자인고등학교","만화애니메이션과","서울","특성화고(직업)",22,4.5,72.7,2025
"대경생활과학고등학교","금융경영과","서울","특성화고(직업)",30,16.7,50,2024
"대경생활과학고등학교","핀테크경영과","서울","특성화고(직업)",18,22.2,55.6,2025
"대경생활과학고등학교","푸드조리디자인과","서울","특성화고(직업)",41,22,51.2,2025
"대경생활과학고등학교","S/W디자인과","서울","특성화고(직업)",29,6.9,72.4,2025
"대동세무고등학교","세무회계과","서울","특성화고(직업)",76,30.3,48.7,2025
"대동세무고등학교","세무행정과","서울","특성화고(직업)",36,27.8,58.3,2025
"대동세무고등학교","국제금융세무과","서울","특성화고(직업)",54,13,57.4,2024
"대일관광고등학교","관광외국어과","서울","특성화고(직업)",10,10,50,2025
"대일관광고등학교","관광레저과","서울","특성화고(직업)",14,0,71.4,2025
"대일관광고등학교","관광외식산업과","서울","특성화고(직업)",32,31.3,50,2025
"대일관광고등학교","뷰티아트과","서울","특성화고(직업)",34,20.6,58.8,2025
"동명생활경영고등학교","영유아보육과","서울","특성화고(직업)",32,6.3,87.5,2025
"동명생활경영고등학교","아동산업마케팅과","서울","특성화고(직업)",26,23.1,57.7,2025
"서울매그넷고등학교","관광경영과","서울","특성화고(직업)",30,20,53.3,2025
"서울매그넷고등학교","무역금융과","서울","특성화고(직업)",16,62.5,12.5,2025
"서울매그넷고등학교","세무회계과","서울","특성화고(직업)",12,33.3,58.3,2025
"서울매그넷고등학교","디자인비즈니스과","서울","특성화고(직업)",27,14.8,74.1,2025
"서울매그넷고등학교","스마트콘텐츠과","서울","특성화고(직업)",10,10,60,2025
"서울매그넷고등학교","미디어콘텐츠과","서울","특성화고(직업)",14,21.4,71.4,2025
"서울매그넷고등학교","베이커리과","서울","특성화고(직업)",18,16.7,55.6,2025
"서서울생활과학고등학교","IT비즈니스과","서울","특성화고(직업)",15,6.7,80,2024
"서서울생활과학고등학교","국제조리과학과","서울","특성화고(직업)",57,12.3,61.4,2025
"서서울생활과학고등학교","국제관광외식조리과","서울","특성화고(직업)",36,8.3,58.3,2024
"서서울생활과학고등학교","국제뷰티아트과","서울","특성화고(직업)",45,31.1,53.3,2025
"서서울생활과학고등학교","생활체육과","서울","특성화고(직업)",14,0,57.1,2025
"서서울생활과학고등학교","실용음악과","서울","특성화고(직업)",17,5.9,76.5,2025
"성암국제무역고등학교","미주무역과","서울","특성화고(직업)",23,30.4,56.5,2025
"성암국제무역고등학교","중국무역과","서울","특성화고(직업)",15,40,40,2025
"성암국제무역고등학교","일본무역과","서울","특성화고(직업)",30,16.7,46.7,2025
"세그루패션디자인고등학교","비주얼MD과","서울","특성화고(직업)",25,48,32,2025
"세그루패션디자인고등학교","미디어디자인과","서울","특성화고(직업)",27,33.3,48.1,2025
"세그루패션디자인고등학교","의상패션디자인과","서울","특성화고(직업)",32,15.6,40.6,2025
"세그루패션디자인고등학교","패션제품디자인과","서울","특성화고(직업)",37,13.5,40.5,2025
"송곡관광고등학교","호텔관광과","서울","특성화고(직업)",32,18.8,62.5,2025
"송곡관광고등학교","조리과학과","서울","특성화고(직업)",52,23.1,48.1,2025
"이화여자대학교병설미디어고등학교","국제경영과","서울","특성화고(직업)",53,49.1,39.6,2025
"이화여자대학교병설미디어고등학교","디자인과","서울","특성화고(직업)",60,10,56.7,2025
"이화여자대학교병설미디어고등학교","영상정보과","서울","특성화고(직업)",36,22.2,55.6,2025
"해성국제컨벤션고등학교","컨벤션영어과","서울","특성화고(직업)",27,18.5,51.9,2025
"해성국제컨벤션고등학교","국제전시경영과","서울","특성화고(직업)",18,16.7,66.7,2025
"해성국제컨벤션고등학교","컨벤션경영과","서울","특성화고(직업)",36,33.3,33.3,2025
"화곡보건경영고등학교","간호과","서울","특성화고(직업)",26,15.4,73.1,2025
"화곡보건경영고등학교","보건복지과","서울","특성화고(직업)",12,0,83.3,2024
"화곡보건경영고등학교","뷰티아트과","서울","특성화고(직업)",14,14.3,57.1,2025
"서울항공비즈니스고등학교","항공비즈니스과","서울","특성화고(직업)",10,0,70,2024
"서울항공비즈니스고등학교","항공로지스틱스과","서울","특성화고(직업)",3,0,100,2024
"서울항공비즈니스고등학교","국제조리과","서울","특성화고(직업)",26,38.5,38.5,2024
"서울항공비즈니스고등학교","디저트제과제빵과","서울","특성화고(직업)",12,25,50,2024
"서울항공비즈니스고등학교","간호보건과","서울","특성화고(직업)",6,0,66.7,2024
"홍익디자인고등학교","멀티미디어디자인과","서울","특성화고(직업)",40,2.5,72.5,2025
"홍익디자인고등학교","시각디자인과","서울","특성화고(직업)",63,7.9,71.4,2025
"선정국제관광고등학교","호텔컨벤션과","서울","특성화고(직업)",37,18.9,56.8,2024
"선정국제관광고등학교","국제항공여행과","서울","특성화고(직업)",30,6.7,60,2024
"선정국제관광고등학교","국제의료관광간호과","서울","특성화고(직업)",19,5.3,73.7,2024
"동래원예고등학교","농산업유통과","부산","특성화고(직업)",19,0,78.9,2025
"동래원예고등학교","도시원예과","부산","특성화고(직업)",19,15.8,63.2,2025
"동래원예고등학교","도시조경과","부산","특성화고(직업)",19,0,89.5,2025
"동래원예고등학교","화훼장식과","부산","특성화고(직업)",18,11.1,77.8,2025
"동래원예고등학교","산림자원과","부산","특성화고(직업)",17,0,76.5,2025
"동래원예고등학교","식품가공과","부산","특성화고(직업)",38,5.3,68.4,2025
"경남공업고등학교","건축토목과","부산","특성화고(직업)",38,18.4,65.8,2025
"경남공업고등학교","기계과","부산","특성화고(직업)",59,20.3,64.4,2025
"경남공업고등학교","전기전자과","부산","특성화고(직업)",58,36.2,48.3,2025
"경남공업고등학교","화학공업과","부산","특성화고(직업)",34,14.7,76.5,2025
"경남공업고등학교","신소재디자인과","부산","특성화고(직업)",18,38.9,50,2025
"대진전자통신고등학교","전기전자과","부산","특성화고(직업)",47,29.8,48.9,2025
"대진전자통신고등학교","컴퓨터소프트웨어과","부산","특성화고(직업)",39,20.5,64.1,2025
"대진전자통신고등학교","전자통신과","부산","특성화고(직업)",48,18.8,68.8,2024
"대진전자통신고등학교","산업디자인과","부산","특성화고(직업)",38,2.6,78.9,2025
"부산공업고등학교","건축토목과","부산","특성화고(직업)",37,18.9,45.9,2025
"부산공업고등학교","기계과","부산","특성화고(직업)",115,19.1,58.3,2025
"부산공업고등학교","전기과","부산","특성화고(직업)",37,35.1,40.5,2025
"부산전자공업고등학교","기계자동차과","부산","특성화고(직업)",53,28.3,52.8,2025
"부산전자공업고등학교","전기전자과","부산","특성화고(직업)",106,20.8,55.7,2025
"부산전자공업고등학교","전자통신과","부산","특성화고(직업)",38,5.3,21.1,2025
"해운대공업고등학교","기계과","부산","특성화고(직업)",66,27.3,51.5,2024
"해운대공업고등학교","전기전자과","부산","특성화고(직업)",47,34,46.8,2024
"부산항공고등학교","기계과","부산","특성화고(직업)",29,17.2,55.2,2025
"부산항공고등학교","스마트팩토리과","부산","특성화고(직업)",27,11.1,59.3,2025
"부산항공고등학교","전기에너지과","부산","특성화고(직업)",44,34.1,52.3,2025
"대광고등학교","3D프린팅과","부산","특성화고(직업)",36,8.3,75,2025
"대광고등학교","VR콘텐츠과","부산","특성화고(직업)",18,5.6,66.7,2025
